scenario,boost_scenario,boost_recovery_curve,k_years,dose2_interval_years,group,is_no_revaccination,n_draws,infections_per1000_py_alive_median,infections_per1000_py_alive_lo95,infections_per1000_py_alive_hi95,cases_per1000_py_alive_median,cases_per1000_py_alive_lo95,cases_per1000_py_alive_hi95,hospitalizations_per1000_py_alive_median,hospitalizations_per1000_py_alive_lo95,hospitalizations_per1000_py_alive_hi95,deaths_per1000_py_alive_median,deaths_per1000_py_alive_lo95,deaths_per1000_py_alive_hi95
older_adult_vax_main,scenario_c,scenario_c,2,2,all_ages,False,5,327.93384876647764,298.37338229365577,507.4340158041578,121.75708566705903,116.31127828759676,175.19532158980158,0.9552402219394798,0.8625266204983716,1.1403337093656036,0.027858515584424943,0.024892108275850297,0.030863649094072243
older_adult_vax_main,scenario_c,scenario_c,2,2,vaccinated_primary,False,5,185.1087671744539,177.66595388767988,297.4847576496277,68.9538812452838,54.03499182760213,89.76998319433906,1.9039848599264406,1.578400576100267,2.0113915313429307,0.10239239471199471,0.08419909917443966,0.10776000254114182
older_adult_vax_main,scenario_c,scenario_c,2,2,vaccine_eligible,False,5,187.3474385511684,180.0156102356805,302.32700724180194,78.72006633808178,62.06370271269586,102.49165475491857,1.8984505413979142,1.6333527797641334,2.0604991832733317,0.09995634059469657,0.08477802696695931,0.10781180838668555
older_adult_vax_main,scenario_c,scenario_c,3,3,age_60plus,False,5,199.96284064894138,191.56723684771873,322.32217142492,85.42058306911488,67.57740792249058,111.0810861884239,1.4327765189873665,1.248616648602074,1.5659907701962925,0.07464667621336415,0.06398009096809072,0.08098955064758696
older_adult_vax_main,scenario_c,scenario_c,3,3,all_ages,False,5,327.92902336474657,298.344962521701,507.4294371621292,121.7119318418272,116.29859107249675,175.18051266908174,0.9548809770325704,0.8615752693554601,1.1398579424443207,0.02783757679297141,0.02486933971546853,0.03083494770367763
older_adult_vax_main,scenario_c,scenario_c,3,3,vaccinated_primary,False,5,185.10320073059987,177.62264833323115,297.4785703724576,68.68602619441481,53.928027377461476,89.4127595786718,1.8945062308962017,1.5746187050225424,2.0058462817036755,0.10187667444970035,0.08398927577056514,0.10745449059425985
older_adult_vax_main,scenario_c,scenario_c,3,3,vaccine_eligible,False,5,187.33590489996035,179.96496655684865,302.3124245432878,78.61483892743465,62.024400827800875,102.34698544524706,1.8946397163948894,1.6318926005256458,2.0583647867835313,0.09974924877560402,0.08469706246370104,0.10769423639871574
older_adult_vax_main,scenario_c,scenario_c,4,4,age_60plus,False,5,199.6806698288548,191.1276128943193,321.9479449440154,84.4556879800565,66.81539909136173,109.79182903707225,1.403715290926369,1.2235996456130795,1.5348375557408158,0.07308388735675664,0.06264461675574971,0.07931940528596683
older_adult_vax_main,scenario_c,scenario_c,4,4,all_ages,False,5,327.7364008356213,298.0368989379364,507.2005264351328,121.22107350725179,116.00989720194362,174.7883709403241,0.9463895576565431,0.8515703388104975,1.1293467610778984,0.02735186565951402,0.024417797979515512,0.030275585898117373
older_adult_vax_main,scenario_c,scenario_c,4,4,vaccinated_primary,False,5,184.80613708634556,177.16116806345042,297.0812042037951,65.48405810925755,51.32525538353926,85.26394345857793,1.7927782000315156,1.485075589161784,1.8938041152696388,0.0963956041280691,0.07920274964440434,0.10144127772209016
older_adult_vax_main,scenario_c,scenario_c,4,4,vaccine_eligible,False,5,187.0390648588164,179.50397215058086,301.9134671647085,77.37304200038473,61.03529660733375,100.70188569535973,1.854800617299102,1.5976074153411652,2.0156251805269507,0.09760397288537888,0.08286435603561597,0.1054002316431502
older_adult_vax_main,scenario_c,scenario_c,5,5,age_60plus,False,5,199.04934256451557,190.06113163087304,321.10618905430096,82.70525715689826,65.54977120204717,107.42712217717795,1.3502721631115389,1.1821169794503223,1.4822794892153601,0.0701980371774194,0.06041768124693342,0.07648837717058785
older_adult_vax_main,scenario_c,scenario_c,5,5,all_ages,False,5,327.3247305310484,297.29091334071734,506.70434918874054,120.28106214169195,115.42178797912838,174.12155997348003,0.9322245732480617,0.8330097640140841,1.1116702129721623,0.02645550232488538,0.023655036663333226,0.029335185175925583
older_adult_vax_main,scenario_c,scenario_c,5,5,vaccinated_primary,False,5,183.90890176201842,175.82744821619173,295.8200894627529,59.860252741250676,47.074201243356484,77.93636113072914,1.6103899998239388,1.3381290270758783,1.7066087991219556,0.08651994100224168,0.07129907961423891,0.09134287239047326
older_adult_vax_main,scenario_c,scenario_c,5,5,vaccine_eligible,False,5,186.34549001693182,178.3582204382324,300.97147266681253,75.14308374432493,59.402865281411984,97.71754990209452,1.7816093509377617,1.5407933171643577,1.943560391958138,0.0936454105467835,0.07980974591086833,0.10151336288310919
